"0",,"general",,,,,,,,"2018-06-01 14:51:33 +0700","date_time"
"1",,"general",,,,,,,,"1045","total_requests"
"2",,"general",,,,,,,,"1045","valid_requests"
"3",,"general",,,,,,,,"0","failed_requests"
"4",,"general",,,,,,,,"0","generation_time"
"5",,"general",,,,,,,,"14","unique_visitors"
"6",,"general",,,,,,,,"101","unique_files"
"7",,"general",,,,,,,,"0","excluded_hits"
"8",,"general",,,,,,,,"0","unique_referrers"
"9",,"general",,,,,,,,"0","unique_not_found"
"58",,"requests","1","0.10%","1","0.96%","0","0.00%","---","---","0.323"
"59",,"requests","1","0.10%","1","0.96%","0","0.00%","---","---","0.339"
"60",,"requests","1","0.10%","1","0.96%","0","0.00%","---","---","0.255"
"61",,"requests","1","0.10%","1","0.96%","0","0.00%","---","---","0.119"
"62",,"requests","1","0.10%","1","0.96%","0","0.00%","---","---","0.29"
"63",,"requests","1","0.10%","1","0.96%","0","0.00%","---","---","202.855"
"64",,"requests","1","0.10%","1","0.96%","156834169","2.31%","---","---","265.203"
"65",,"requests","1","0.10%","1","0.96%","0","0.00%","---","---","0.422"
"66",,"requests","1","0.10%","1","0.96%","112431364","1.66%","---","---","145.22"
"67",,"requests","1","0.10%","1","0.96%","232231172","3.42%","---","---","298.783"
"68",,"requests","1","0.10%","1","0.96%","0","0.00%","---","---","281.397"
"69",,"requests","1","0.10%","1","0.96%","0","0.00%","---","---","0.045"
"70",,"requests","1","0.10%","1","0.96%","0","0.00%","---","---","0.049"
"71",,"requests","1","0.10%","1","0.96%","0","0.00%","---","---","0.051"
"72",,"requests","1","0.10%","1","0.96%","0","0.00%","---","---","0.054"
"73",,"requests","1","0.10%","1","0.96%","3509","0.00%","---","---","0.064"
"74",,"requests","1","0.10%","1","0.96%","3509","0.00%","---","---","0.061"
"75",,"requests","1","0.10%","1","0.96%","3797","0.00%","---","---","49.651"
"76",,"requests","1","0.10%","1","0.96%","0","0.00%","---","---","136.281"
"77",,"requests","1","0.10%","1","0.96%","0","0.00%","---","---","35.876"
"78",,"requests","1","0.10%","1","0.96%","0","0.00%","---","---","34.262"
"79",,"requests","1","0.10%","1","0.96%","0","0.00%","---","---","83.703"
"80",,"requests","1","0.10%","1","0.96%","0","0.00%","---","---","34.228"
"81",,"requests","1","0.10%","1","0.96%","0","0.00%","---","---","62.521"
"82",,"requests","1","0.10%","1","0.96%","3447","0.00%","---","---","0.048"
"83",,"requests","1","0.10%","1","0.96%","0","0.00%","---","---","969.842"
"84",,"requests","1","0.10%","1","0.96%","816637768","12.03%","---","---","1777.857"
"85",,"requests","1","0.10%","1","0.96%","13543","0.00%","---","---","1745.406"
